M-D,2019,2020,2021
1-1,10000,0,7003.0875
1-2,10000,6787.3225,0
1-3,1398.672,0,0
1-4,0,0,3092.794286
1-5,0,0,0
1-6,0,6687.5,0
1-7,984.72,0,0
1-8,3499.4,0,0
1-9,0,0,0
1-10,0,4450,0
1-11,0,0,18635.05
1-12,0,0,850
1-13,0,953.7,0
1-14,1122.09,1445.62,0
1-15,800,0,2670
1-16,0,32000,0
1-17,0,1450.6625,0
1-18,366.28,0,1411.74
1-19,0,0,1900.08
1-20,0,760.08,4275
1-21,6675,850,6675
1-22,0,743.75,3950
1-23,0,2150.4,0
1-24,0,0,0
1-25,0,0,18194.61667
1-26,0,0,290
1-27,0,1103.54,0
1-28,0,1930.315,0
1-29,0,0,1737
1-30,0,0,0
1-31,0,15500,0
2-1,2640,0,8447.978
2-2,0,0,3868.722
2-3,0,2485.191667,0
2-4,0,1496.01,0
2-5,0,0,8315.19
2-6,11487.3,5000,0
2-7,0,0,0
2-8,1158.32,0,138411.4633
2-9,0,0,1040.93
2-10,0,0,4924.993333
2-11,759.86,989.35,1395.394
2-12,0,0,1761.25
2-13,0,0,0
2-14,184.02,0,0
2-15,0,0,1284.22
2-16,0,0,10796.996
2-17,0,800.26,0
2-18,0,3391.08,1344.025
2-19,0,1028.33,1782.14
2-20,0,0,0
2-21,240,0,0
2-22,0,0,896.44
2-23,0,0,0
2-24,0,1833.33,695
2-25,950,0,1249.85
2-26,1607.68,1954.75,1369.86
2-27,0,680,0
2-28,7786,1939.05,0
3-1,2562.916,0,7887.81
3-2,0,1200,0
3-3,0,0,1778.995
3-4,1650,0,2077
3-5,0,795.17,3462.905
3-6,759,0,0
3-7,0,0,0
3-8,719.1833333,0,13823.895
3-9,0,3250,0
3-10,0,546.2373333,8308
3-11,0,0,0
3-12,324.025,0,1318.5
3-13,0,763.21,0
3-14,0,0,0
3-15,0,0,0
3-16,0,2664.75,1005.645
3-17,0,0,0
3-18,0,1320,0
3-19,0,29250,0
3-20,0,0,0
3-21,17.385,0,0
3-22,1752.26,0,0
3-23,6216.38,0,997.82
3-24,0,0,12191.16
3-25,5300.195,0,0
3-26,0,0,252169.944
3-27,4485.615,0,0
3-28,1252,0,0
3-29,0,0,0
3-30,0,0,14940
3-31,0,0,0
4-1,0,709.845,840
4-2,44443.7325,0,0
4-3,0,0,0
4-4,0,0,0
4-5,1085.2,0,0
4-6,0,0,870.48
4-7,0,0,0
4-8,4675.24,0,0
4-9,0,0,0
4-10,0,5054.25,0
4-11,0,0,0
4-12,950,0,861.36
4-13,0,279.3,0
4-14,0,8796.15,0
4-15,10933.125,2516.85,2795.79
4-16,0,0,0
4-17,0,10783.33333,0
4-18,0,0,0
4-19,0,0,0
4-20,0,12848.5,1400
4-21,0,1880.05,0
4-22,999.24,1249.833333,0
4-23,2295,22797,10369.38
4-24,0,2189.07,0
4-25,7500,0,0
4-26,2250,0,0
4-27,0,0,1257.515
4-28,0,2012.5,80
4-29,6774.368571,0,868.595
4-30,2766.81,1337.06,790.0125
5-1,0,6155,12977.93
5-2,0,0,4700.1
5-3,0,0,1181.153333
5-4,0,7574,997.1
5-5,0,234.21,0
5-6,93972.5,8975,0
5-7,1043.596667,995,852.53
5-8,0,1402.5,0
5-9,6152.198,0,0
5-10,0,0,2629.99
5-11,0,0,0
5-12,0,15450,3143
5-13,0,73.41,0
5-14,1572.7,4266.2,0
5-15,826.71,0,0
5-16,56.275,0,0
5-17,0,0,2437.27
5-18,0,760.1933333,4403.84
5-19,0,0,0
5-20,0,32000,3704.82
5-21,0,0,0
5-22,0,1052.62,0
5-23,1371.393333,3426.84,0
5-24,1871860,0,2986.43
5-25,0,0,977
5-26,0,29750,4600
5-27,0,788.27,0
5-28,939.5,0,0
5-29,5739.786,0,6148.08
5-30,0,0,737.04
5-31,0,0,1695.775
6-1,0,5047.853333,2839.58
6-2,0,0,0
6-3,17269.93778,0,10338.77
6-4,0,0,1800
6-5,694.53,11788.945,0
6-6,0,0,0
6-7,0,0,12565.37
6-8,0,7669.604,0
6-9,0,787.5,0
6-10,15000,6616.223333,370
6-11,0,1945,0
6-12,0,0,0
6-13,0,0,0
6-14,6281.07,0,1086.193333
6-15,0,956.49,1339.585714
6-16,0,925.69,21500
6-17,2004.642,0,1540.21
6-18,0,0,5000
6-19,2447.218,1388.55,0
6-20,3367.333333,0,0
6-21,0,0,12940
6-22,0,13771.478,802.5066667
6-23,0,0,1026.54
6-24,22626.99,966,0
6-25,0,2777.07,821.56
6-26,0,0,0
6-27,0,0,0
6-28,0,0,0
6-29,0,0,0
6-30,0,0,0
7-1,0,4875,4727.7
7-2,3189.9,8590.15,0
7-3,22000,0,0
7-4,0,0,0
7-5,0,0,0
7-6,0,500,1226
7-7,0,9270.333333,4884
7-8,0,0,0
7-9,8575,779.925,0
7-10,0,0,0
7-11,0,0,0
7-12,0,0,6339.58
7-13,0,131000,0
7-14,0,0,4964.48
7-15,10166.52,0,7019.57
7-16,0,0,0
7-17,0,0,0
7-18,852.13,0,0
7-19,2361.42,0,870.1875
7-20,0,1939.565,19800
7-21,0,592.05,1516
7-22,4000,7650,0
7-23,0,0,0
7-24,0,0,0
7-25,0,0,0
7-26,0,0,0
7-27,0,12001.16333,0
7-28,0,788.27,0
7-29,0,1064.58,0
7-30,0,94533.23,0
7-31,0,779.25,0
8-1,0,0,0
8-2,0,0,2799.02
8-3,0,1145.72,0
8-4,0,275.52,0
8-5,11550,1200,0
8-6,19800,0,0
8-7,0,0,0
8-8,0,0,0
8-9,1040,0,2160
8-10,0,1975.6,0
8-11,0,0,1800
8-12,0,0,19200
8-13,0,0,0
8-14,1617.555,0,0
8-15,0,0,5646.666667
8-16,21000,0,7278.44
8-17,0,6077.7,1714.9
8-18,0,4404.525,0
8-19,2275.97,0,0
8-20,4916.67,0,1640
8-21,10900,5534.556667,0
8-22,3637.675,0,0
8-23,682.55,0,12565.37
8-24,0,14615.39,0
8-25,0,0,0
8-26,0,8642.25,0
8-27,5716.045,0,0
8-28,0,3224,0
8-29,729.47,0,0
8-30,0,0,26400
8-31,0,7495,0
9-1,0,2839.57,0
9-2,0,0,1413.905
9-3,850,0,1036.6
9-4,0,14338.74,0
9-5,2549.02,0,0
9-6,0,0,0
9-7,0,0,0
9-8,0,12027,0
9-9,1745.15,0,4324.06
9-10,204.02,6616.223333,0
9-11,0,0,0
9-12,0,0,0
9-13,0,0,123.78
9-14,0,0,0
9-15,0,4008.315,0
9-16,2706.986667,0,3249.986667
9-17,0,156.8,869.315
9-18,0,0,0
9-19,2406.9825,0,0
9-20,12351.89,0,15442.5
9-21,0,0,0
9-22,0,0,763.57
9-23,0,0,1194
9-24,845.43,0,987.8266667
9-25,5594.65,1844.7425,7215.73
9-26,0,8775,0
9-27,0,0,0
9-28,0,568.28,0
9-29,0,1691.778333,46500
9-30,5594.65,1910.61,0
10-1,3424.216667,3868.8,0
10-2,1959.858,0,0
10-3,0,0,0
10-4,0,0,0
10-5,0,0,0
10-6,0,0,0
10-7,2732.75,0,0
10-8,762.1333333,0,0
10-9,0,10295.76,0
10-10,825.17,0,0
10-11,0,0,0
10-12,0,950,0
10-13,0,0,0
10-14,0,0,0
10-15,465.5,0,0
10-16,0,0,0
10-17,995,0,0
10-18,0,0,0
10-19,0,1144.5,0
10-20,0,1549.02,0
10-21,17179.8,7192.68,0
10-22,772.43,0,0
10-23,0,1041.575,0
10-24,0,0,0
10-25,23896.13,0,0
10-26,0,0,0
10-27,0,1716.875,0
10-28,1931.745,0,0
10-29,0,0,0
10-30,0,0,0
10-31,0,0,0
11-1,0,1540.37,0
11-2,0,5110.12,0
11-3,0,15249.78,0
11-4,2147.085,0,0
11-5,0,0,0
11-6,2705,0,0
11-7,0,0,0
